name,career_salary
"A.J. Price",854389
"Aaron Gray",2500000
"Al Harrington",6226200
"Al Horford",12000000
"Al Jefferson",14000000
"Al-Farouq Aminu",2755560
"Alec Burks",2020200
"Alonzo Gee",854389
"Amar'e Stoudemire",18217705
"Amir Johnson",5500000
"Anderson Varejao",7700000
"Andray Blatche",6442083
"Andre Emmett",61433
"Andre Iguodala",13531750
"Andre Miller",7807728
"Andrea Bargnani",9250000
"Andres Nocioni",6650000
"Andrew Bogut",12000000
"Andrew Bynum",14900000
"Andrew Goudelock",473604
"Andris Biedrins",9000000
"Andy Rautins",788872
"Antawn Jamison",15076715
"Anthony Carter",1352181
"Anthony Morrow",4000000
"Anthony Parker",2250000
"Anthony Randolph",2911231
"Anthony Tolliver",2050000
"Antonio McDyess",2640000
"Armon Johnson",762195
"Arron Afflalo",7562500
"Austin Daye",1929600
"Avery Bradley",1524480
"Baron Davis",15252181
"Ben Gordon",11600000
"Ben Uzoh",61433
"Ben Wallace",2246400
"Beno Udrih",6925400
"Bismack Biyombo",2798040
"Blake Griffin",5731080
"Bobby Simmons",594836
"Boris Diaw",9000000
"Brad Miller",4752000
"Brandon Bass",4250000
"Brandon Jennings",2493720
"Brandon Knight",2563320
"Brandon Roy",16032144
"Brandon Rush",2956658
"Brendan Haywood",7624500
"Brian Cardinal",1352181
"Brian Cook",1223166
"Brian Scalabrine",1352181
"Brian Skinner",65446
"Brook Lopez",3076983
"Byron Mullens",1288200
"C.J. Miles",3700000
"C.J. Watson",3400000
"Carl Landry",8500000
"Carldell Johnson",168035
"Carlos Boozer",13500000
"Carlos Delfino",3500000
"Carmelo Anthony",18518574
"Caron Butler",8000000
"Chandler Parsons",850000
"Channing Frye",5600000
"Charles Jenkins",473604
"Charlie Bell",4099920
"Charlie Villanueva",7540000
"Chase Budinger",854389
"Chauncey Billups",14200000
"Chris Andersen",4234000
"Chris Bosh",16022500
"Chris Duhon",3500000
"Chris Johnson",762195
"Chris Kaman",14030000
"Chris Paul",16359805
"Chris Singleton",1485000
"Chris Wilcox",3000000
"Chris Wright",473604
"Christian Eyenga",1097520
"Chuck Hayes",5250000
"Cole Aldrich",2286000
"Corey Brewer",3059000
"Corey Maggette",10262069
"Cory Higgins",473604
"Cory Joseph",1028400
"Courtney Fortson",42009
"Courtney Lee",2225093
"Craig Brackins",1404960
"Craig Smith",992680
"D.J. Augustin",3236470
"D.J. White",2001167
"DaJuan Summers",303137
"Daequan Cook",3341558
"Dahntay Jones",2700000
"Damien Wilkins",1146337
"Damion James",1243080
"Daniel Gibson",4403834
"Daniel Orton",1105560
"Danilo Gallinari",4190182
"Danny Granger",12015904
"Danny Green",854389
"Dante Cunningham",2000000
"Darington Hobson",245884
"Darius Morris",473604
"Darko Milicic",4776500
"Darrell Arthur",2027119
"Darren Collison",1455960
"David Lee",11610000
"David West",10000000
"DeAndre Jordan",10079404
"DeAndre Liggins",473604
"DeJuan Blair",986000
"DeMar DeRozan",2625000
"DeMarcus Cousins",3627720
"DeMarre Carroll",833713
"DeSagana Diop",6925400
"DeShawn Stevenson",2500000
"Delonte West",1146337
"Dennis Horner",91642
"Derek Fisher",3400000
"Deron Williams",16359805
"Derrick Brown",854389
"Derrick Caracter",270427
"Derrick Favors",4443360
"Derrick Rose",6993708
"Derrick Williams",4602720
"Devin Ebanks",762195
"Devin Harris",9319000
"Dexter Pittman",762195
"Dirk Nowitzki",19092873
"Dominic McGuire",915852
"Dominique Jones",1193280
"Donald Sloan",198629
"Donte Greene",2015896
"Dorell Wright",3823000
"Drew Gooden",6226200
"Dwight Howard",18091770
"Dwyane Wade",15691000
"E'Twaun Moore",473604
"Earl Barron",185588
"Earl Clark",1160000
"Earl Watson",2000000
"Ed Davis",2063040
"Eddy Curry",1229255
"Eduardo Najera",2750000
"Ekpe Udoh",3294960
"Elliot Williams",1348800
"Elton Brand",17059727
"Emeka Okafor",12541812
"Enes Kanter",4133280
"Eric Bledsoe",1596360
"Eric Dawson",38172
"Eric Gordon",3831184
"Eric Maynor",1516680
"Erick Dampier",850522
"Ersan Ilyasova",2541000
"Evan Turner",4947840
"Francisco Elson",305792
"Francisco Garcia",5800000
"Garret Siler",51097
"Gary Forbes",1500000
"Gary Neal",762195
"George Hill",2086360
"Gerald Green",516999
"Gerald Henderson",2250600
"Gerald Wallace",9500000
"Gilbert Arenas",19269307
"Glen Davis",6300000
"Goran Dragic",2108000
"Gordon Hayward",2532960
"Grant Hill",6500000
"Greg Monroe",3007920
"Greg Oden",1500000
"Greg Smith",301733
"Greg Stiemsma",762195
"Greivis Vasquez",1113600
"Gustavo Ayon",1567500
"Hakim Warrick",4000000
"Hamady N'Diaye",270427
"Hamed Haddadi",1300000
"Hasheem Thabeet",5127720
"Hassan Whiteside",762195
"Hedo Turkoglu",11015850
"Ike Diogu",64028
"Iman Shumpert",1563120
"Isaiah Thomas",473604
"Ish Smith",639254
"Ivan Johnson",473604
"J.J. Hickson",2354537
"J.J. Redick",6750000
"J.R. Smith",2382353
"JaJuan Johnson",1042320
"JaVale McGee",2462400
"Jamaal Magloire",1352181
"Jamal Crawford",5000000
"Jameer Nelson",7800000
"James Anderson",1463520
"James Harden",4604760
"James Johnson",1833120
"James Jones",1500000
"James Posey",7595600
"Jan Vesely",3065040
"Jannero Pargo",1223166
"Jared Dudley",4250000
"Jared Jeffries",1229255
"Jarrett Jack",5000000
"Jason Collins",1352181
"Jason Kapono",1223166
"Jason Kidd",10121000
"Jason Maxiell",5000000
"Jason Richardson",5395000
"Jason Smith",2500000
"Jason Terry",11158000
"Jason Thompson",3001284
"Jeff Adrien",270427
"Jeff Ayres",1500000
"Jeff Foote",225341
"Jeff Foster",3000000
"Jeff Teague",1579920
"Jeremy Evans",762195
"Jeremy Lin",762195
"Jeremy Pargo",1000000
"Jeremy Tyler",650000
"Jermaine O'Neal",6226200
"Jerome Jordan",473604
"Jerry Stackhouse",1352181
"Jerryd Bayless",3042280
"Jimmer Fredette",2238360
"Jimmy Butler",1020960
"Joakim Noah",12000000
"Jodie Meeks",854389
"Joe Johnson",18038573
"Joel Anthony",3600000
"Joel Przybilla",1145027
"Johan Petro",3250000
"John Lucas",915852
"John Salmons",8500000
"John Wall",5530080
"Jon Brockman",1000000
"Jon Leuer",473604
"Jonas Jerebko",4500000
"Jonny Flynn",3414720
"Jordan Crawford",1120440
"Jordan Farmar",4000000
"Jordan Hamilton",1073286
"Jordan Hill",2855760
"Jordan Williams",473604
"Jose Barea",4300000
"Jose Calderon",9780992
"Josh Childress",6000000
"Josh Davis",314041
"Josh Harrellson",473604
"Josh Howard",2150000
"Josh McRoberts",3000000
"Josh Selby",550000
"Josh Smith",12400000
"Jrue Holiday",1741440
"Julyan Stone",473604
"Justin Harper",473604
"Juwan Howard",1352181
"Kawhi Leonard",1731960
"Keith Bogans",848266
"Kemba Walker",2356320
"Kendrick Perkins",7123626
"Kenneth Faried",1254720
"Kenyon Martin",2500000
"Kevin Durant",15506632
"Kevin Garnett",21247044
"Kevin Love",4609701
"Kevin Martin",11519840
"Kevin Seraphin",1680360
"Keyon Dooling",2246400
"Kirk Hinrich",8100000
"Klay Thompson",2126520
"Kobe Bryant",25244493
"Kosta Koufos",2203792
"Kris Humphries",8000000
"Kwame Brown",6750000
"Kyle Korver",5000000
"Kyle Lowry",5750000
"Kyrie Irving",5144280
"LaMarcus Aldridge",12372000
"Lamar Odom",8900000
"Lance Stephenson",810000
"Lance Thomas",328444
"Landry Fields",762195
"Larry Hughes",414443
"Larry Owens",86052
"Larry Sanders",1861920
"Lavoy Allen",473604
"Lazar Hayward",1097520
"LeBron James",16022500
"Leandro Barbosa",7600000
"Linas Kleiza",4605000
"Louis Amundson",2403000
"Louis Williams",5176000
"Luc Mbah a Moute",5000000
"Luis Scola",8591793
"Luke Babbitt",1768800
"Luke Harangody",762195
"Luke Ridnour",3680000
"Luke Walton",5680000
"Luol Deng",12325000
"Malcolm Lee",500000
"Malcolm Thomas",103104
"Manny Harris",122942
"Manu Ginobili",12981038
"MarShon Brooks",1110120
"Marc Gasol",12922194
"Marcin Gortat",6790640
"Marco Belinelli",3377604
"Marcus Camby",11227250
"Marcus Morris",1823280
"Marcus Thornton",7000000
"Mario Chalmers",4000000
"Markieff Morris",1919160
"Marquis Daniels",1223166
"Marreese Speights",2721255
"Martell Webster",5256000
"Marvin Williams",7500000
"Matt Barnes",1906200
"Matt Bonner",3315000
"Matt Carroll",3900000
"Maurice Evans",1223166
"Mehmet Okur",10890000
"Metta World Peace",6790640
"Michael Beasley",6262347
"Michael Redd",1308506
"Mickael Pietrus",6523166
"Mickell Gladness",248263
"Mike Bibby",1352181
"Mike Conley",6611571
"Mike Dunleavy",3750000
"Mike James",277566
"Mike Miller",5400000
"Mo Williams",8500000
"Monta Ellis",11000000
"Mychel Thompson",168035
"Nate Robinson",5483307
"Nazr Mohammed",3750000
"Nene Hilario",13000000
"Nick Collison",3272997
"Nick Young",3695857
"Nicolas Batum",2155365
"Nikola Pekovic",4503600
"Nikola Vucevic",1645400
"Nolan Smith",1306920
"Norris Cole",1035960
"O.J. Mayo",5632637
"Omer Asik",1857500
"Omri Casspi",1341960
"Patrick Patterson",1959960
"Pau Gasol",18714150
"Paul George",2406240
"Paul Millsap",8103435
"Paul Pierce",15333334
"Quentin Richardson",2446600
"Quincy Pondexter",1153800
"Raja Bell",3240000
"Rajon Rondo",10045455
"Ramon Sessions",4257973
"Randy Foye",4250000
"Rashard Lewis",21136631
"Rasual Butler",1229255
"Ray Allen",10000000
"Raymond Felton",7560000
"Reggie Evans",1229255
"Reggie Jackson",1156320
"Reggie Williams",2500000
"Renaldo Balkman",1675000
"Richard Hamilton",17500000
"Richard Jefferson",9282000
"Ricky Rubio",3480120
"Robin Lopez",2862602
"Rodney Stuckey",8500000
"Rodrigue Beaubois",1236720
"Roger Mason",1146337
"Ronnie Brewer",4710000
"Ronnie Price",1069509
"Ronny Turiaf",4360000
"Roy Hibbert",2588590
"Royal Ivey",1200000
"Rudy Fernandez",2180443
"Rudy Gay",15032144
"Russell Westbrook",5082416
"Ryan Anderson",2244601
"Ryan Gomes",4000000
"Ryan Hollins",2483333
"Ryan Reid",475000
"Sam Young",947800
"Samardo Samuels",762195
"Samuel Dalembert",7000000
"Sasha Pavlovic",1223166
"Sebastian Telfair",1500000
"Semih Erden",762195
"Serge Ibaka",1288200
"Shane Battier",3000000
"Shannon Brown",3500000
"Shaun Livingston",3500000
"Shawn Marion",8022449
"Shawne Williams",3000000
"Shelden Williams",992680
"Shelvin Mack",473604
"Solomon Alabi",830000
"Solomon Jones",440353
"Spencer Hawes",4051024
"Stephen Curry",3117120
"Stephen Jackson",9256500
"Steve Blake",4000000
"Steve Nash",11689062
"Steve Novak",992680
"Sundiata Gaines",854389
"T.J. Ford",1146337
"Taj Gibson",1195680
"Tayshaun Prince",6292135
"Terrel Harris",473604
"Terrence Williams",2369040
"Thabo Sefolosha",3300000
"Thaddeus Young",7478261
"Tiago Splitter",3672000
"Tim Duncan",21164619
"Timofey Mozgov",3343896
"Tobias Harris",1418160
"Toney Douglas",1145640
"Tony Allen",3150000
"Tony Battie",1352181
"Tony Parker",12500000
"Tracy McGrady",1352181
"Travis Leslie",473604
"Travis Outlaw",7000000
"Trevor Ariza",6790640
"Trevor Booker",1294920
"Trey Thompkins",473604
"Tristan Thompson",3726600
"Troy Murphy",1352181
"Ty Lawson",1654440
"Tyler Hansbrough",2138040
"Tyler Honeycutt",775000
"Tyreke Evans",4151640
"Tyrus Thomas",7305765
"Tyson Chandler",13107837
"Udonis Haslem",3780000
"Vernon Macklin",473604
"Vince Carter",21300000
"Vladimir Radmanovic",1352181
"Walker Russell",374289
"Wayne Ellington",1154040
"Wesley Johnson",4006080
"Wesley Matthews",6135160
"Will Bynum",3250000
"Willie Green",1223166
"Xavier Henry",2171640
"Yi Jianlian",827197
"Zach Randolph",15200000
"Zaza Pachulia",4750000