name,salary
"Eric Dawson",38172
"Courtney Fortson",42009
"Garret Siler",51097
"Andre Emmett",61433
"Ben Uzoh",61433
"Ike Diogu",64028
"Brian Skinner",65446
"Gerald Green",73818
"Donald Sloan",76392
"Larry Owens",86052
"Dennis Horner",91642
"Malcolm Thomas",103104
"Ish Smith",116768
"Donald Sloan",122237
"Manny Harris",122942
"Solomon Jones",160119
"Carldell Johnson",168035
"Mychel Thompson",168035
"Earl Barron",185588
"Jeff Foote",225341
"Darington Hobson",245884
"Mickell Gladness",248263
"Jeff Adrien",270427
"Derrick Caracter",270427
"Hamady N'Diaye",270427
"Mike James",277566
"Solomon Jones",280234
"DeMarre Carroll",289382
"Greg Smith",301733
"DaJuan Summers",303137
"Francisco Elson",305792
"Josh Davis",314041
"Lance Thomas",328444
"Walker Russell",374289
"Larry Hughes",414443
"Gerald Green",443181
"Lavoy Allen",473604
"Andrew Goudelock",473604
"Justin Harper",473604
"Josh Harrellson",473604
"Terrel Harris",473604
"Cory Higgins",473604
"Charles Jenkins",473604
"Ivan Johnson",473604
"Jerome Jordan",473604
"Travis Leslie",473604
"Jon Leuer",473604